model,game_id,success,distance_group,target_property,distance,positive_testing_bias,positive_testing_queries,negative_testing_queries,total_test_queries,oracle_annotation_count,oracle_error_count,oracle_any_error,oracle_error_rate,sampled_test_oracle_error,sampled_guess_oracle_error
MiniMaxAI_MiniMax-M2.5,4313,True,deep,body_part,5,0.7,7,3,10,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,17047,True,close,plant,3,0.5,2,2,4,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,11006,False,close,food,4,0.5789473684210527,11,8,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,9433,True,close,body_part,4,0.8181818181818182,9,2,11,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,15508,False,close,plant,3,0.6842105263157895,13,6,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,1261,True,close,animal,3,0.7142857142857143,5,2,7,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,11459,False,deep,food,6,0.7368421052631579,14,5,19,2,1,True,0.5,True,False
MiniMaxAI_MiniMax-M2.5,11921,False,close,food,4,0.47368421052631576,9,10,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,15790,False,deep,plant,7,0.5263157894736842,10,9,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,11384,False,close,food,3,0.7894736842105263,15,4,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,6380,False,close,artifact,3,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,6606,False,deep,artifact,8,0.7368421052631579,14,5,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,11016,False,deep,food,6,0.7368421052631579,14,5,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,1725,False,deep,animal,8,0.5555555555555556,10,8,18,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,1066,False,close,animal,4,0.631578947368421,12,7,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,6543,False,deep,artifact,7,0.631578947368421,12,7,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,11697,False,deep,food,5,0.631578947368421,12,7,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,5807,False,deep,artifact,5,0.5,10,10,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,9949,False,deep,body_part,6,0.5789473684210527,11,8,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,17257,False,close,plant,3,0.9473684210526315,18,1,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,1136,True,deep,animal,6,0.6666666666666666,6,3,9,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,12016,False,close,food,4,0.7894736842105263,15,4,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,10981,True,deep,food,5,0.7272727272727273,8,3,11,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,546,True,close,animal,4,0.875,14,2,16,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,16249,False,deep,plant,7,0.8421052631578947,16,3,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,6347,False,close,artifact,4,0.8,16,4,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,3947,False,deep,animal,5,0.631578947368421,12,7,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,357,True,close,animal,4,0.5,2,2,4,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,5506,False,close,artifact,4,0.9473684210526315,18,1,19,2,1,True,0.5,True,False
MiniMaxAI_MiniMax-M2.5,4288,False,deep,body_part,5,0.5555555555555556,10,8,18,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4458,True,deep,body_part,5,0.5,3,3,6,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,9334,True,close,body_part,4,0.5333333333333333,8,7,15,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,819,False,deep,animal,6,0.5789473684210527,11,8,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,3172,True,close,animal,3,0.75,12,4,16,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,3852,False,deep,animal,6,0.5,10,10,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,3966,True,deep,animal,7,0.2857142857142857,2,5,7,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,17248,True,deep,plant,6,0.7142857142857143,5,2,7,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,15310,False,close,plant,4,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,10994,False,close,food,4,0.47368421052631576,9,10,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,2971,False,deep,animal,7,0.8421052631578947,16,3,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,10237,False,deep,food,5,0.8421052631578947,16,3,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,12095,True,deep,food,5,0.3,3,7,10,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,5224,False,deep,artifact,5,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,658,False,close,animal,4,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,1943,True,deep,animal,8,0.42857142857142855,6,8,14,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,16414,True,close,plant,3,0.4,2,3,5,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4348,False,deep,body_part,5,0.7368421052631579,14,5,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,10838,True,close,food,4,0.7777777777777778,7,2,9,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,9596,False,close,body_part,3,0.6842105263157895,13,6,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,3743,True,deep,animal,5,0.4,2,3,5,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4875,False,deep,artifact,5,0.85,17,3,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,11376,False,close,food,3,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,5516,False,close,artifact,4,0.8235294117647058,14,3,17,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,15598,False,deep,plant,7,0.5,9,9,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,11059,False,deep,food,5,0.6842105263157895,13,6,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,2806,True,close,animal,3,0.6666666666666666,4,2,6,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,6607,False,deep,artifact,7,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,3192,False,close,animal,4,0.9473684210526315,18,1,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,16469,True,close,plant,4,0.7222222222222222,13,5,18,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,5184,False,deep,artifact,5,0.7894736842105263,15,4,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,5652,True,deep,artifact,5,0.25,1,3,4,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4465,True,close,body_part,3,0.6,3,2,5,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,5757,False,deep,artifact,6,0.631578947368421,12,7,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,10074,True,deep,body_part,5,0.5,4,4,8,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,5265,True,close,artifact,4,0.7333333333333333,11,4,15,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4450,False,close,body_part,3,0.7222222222222222,13,5,18,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,5653,False,close,artifact,4,0.6842105263157895,13,6,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,6396,False,close,artifact,3,0.7894736842105263,15,4,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,4020,False,close,body_part,3,0.8333333333333334,15,3,19,2,2,True,1.0,True,True
MiniMaxAI_MiniMax-M2.5,10858,False,close,food,4,0.4,8,12,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,15611,False,deep,plant,6,0.5263157894736842,10,9,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,12377,False,deep,food,6,0.7,14,6,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,9670,True,deep,body_part,5,0.6,9,6,15,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,9616,False,close,body_part,3,0.7647058823529411,13,4,17,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,16467,False,deep,plant,6,0.21052631578947367,4,15,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,11199,False,close,food,4,0.65,13,7,20,1,0,False,0.0,False,
Qwen_Qwen3.5-9B,16120,True,close,plant,3,0.6,3,2,5,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,1154,False,close,animal,4,0.3888888888888889,7,11,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,62,False,close,animal,3,0.5789473684210527,11,8,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,16152,True,deep,plant,6,0.16666666666666666,1,5,6,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,9624,False,close,body_part,3,0.5789473684210527,11,8,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,4779,False,close,artifact,4,0.8421052631578947,16,3,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,17775,True,close,plant,4,0.7,7,3,10,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,4032,True,close,body_part,3,0.5,1,1,2,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,15613,False,close,plant,4,0.8333333333333334,15,3,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,4784,False,close,artifact,4,0.8947368421052632,17,2,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,6359,False,close,artifact,4,0.9473684210526315,18,1,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,9457,False,close,body_part,4,0.7777777777777778,14,4,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,10529,False,deep,food,6,0.47368421052631576,9,10,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,6575,False,deep,artifact,7,0.75,15,5,20,1,1,True,1.0,True,
Qwen_Qwen3.5-9B,3411,False,deep,animal,8,0.3684210526315789,7,12,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,15245,False,deep,plant,5,0.6842105263157895,13,6,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,10986,False,deep,food,6,0.42105263157894735,8,11,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,4368,False,deep,body_part,5,0.631578947368421,12,7,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,11263,False,close,food,4,0.5294117647058824,9,8,18,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,16864,False,close,plant,4,0.7368421052631579,14,5,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,17361,True,deep,plant,6,0.5,6,6,12,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,1551,True,deep,body_part,5,0.5555555555555556,10,8,18,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,16096,True,deep,plant,6,0.5555555555555556,5,4,9,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,9650,False,deep,body_part,5,0.7777777777777778,14,4,18,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,4313,False,deep,body_part,5,0.8421052631578947,16,3,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,17047,False,close,plant,3,0.6842105263157895,13,6,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,11006,False,close,food,4,0.5263157894736842,10,9,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,9433,False,close,body_part,4,0.7058823529411765,12,5,17,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,15508,False,close,plant,3,0.6842105263157895,13,6,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,1261,False,close,animal,3,0.5789473684210527,11,8,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,11459,False,deep,food,6,0.3333333333333333,6,12,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,11921,False,close,food,4,0.47368421052631576,9,10,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,15790,False,deep,plant,7,0.3157894736842105,6,13,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,11384,True,close,food,3,0.0,0,6,6,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,6380,False,close,artifact,3,0.75,15,5,20,1,1,True,1.0,True,
Qwen_Qwen3.5-9B,6606,False,deep,artifact,8,0.5789473684210527,11,8,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,11016,False,deep,food,6,0.42105263157894735,8,11,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,1725,False,deep,animal,8,0.5,9,9,18,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,1066,True,close,animal,4,0.3333333333333333,2,4,6,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,6543,False,deep,artifact,7,0.8,16,4,20,1,1,True,1.0,True,
Qwen_Qwen3.5-9B,11697,False,deep,food,5,0.631578947368421,12,7,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5807,False,deep,artifact,5,0.875,14,2,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,9949,True,deep,body_part,6,0.14285714285714285,1,6,7,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,17257,False,close,plant,3,0.47368421052631576,9,10,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,1136,False,deep,animal,6,0.4,8,12,20,1,0,False,0.0,False,
Qwen_Qwen3.5-9B,12016,True,close,food,4,0.5555555555555556,10,8,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,10981,False,deep,food,5,0.3157894736842105,6,13,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,546,True,close,animal,4,0.14285714285714285,1,6,7,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,16249,False,deep,plant,7,0.6842105263157895,13,6,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,6347,False,close,artifact,4,0.9473684210526315,18,1,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,3947,False,deep,animal,5,0.7222222222222222,13,5,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,357,True,close,animal,4,0.5,2,2,4,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5506,False,close,artifact,4,1.0,20,0,20,1,1,True,1.0,True,
Qwen_Qwen3.5-9B,4288,True,deep,body_part,5,0.4,2,3,5,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,4458,False,deep,body_part,5,0.35294117647058826,6,11,17,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,9334,False,close,body_part,4,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,819,False,deep,animal,6,0.6666666666666666,12,6,18,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,3172,False,close,animal,3,0.4444444444444444,8,10,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,3852,False,deep,animal,6,0.5,9,9,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,3966,True,deep,animal,7,0.375,3,5,8,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,17248,False,deep,plant,6,0.5882352941176471,10,7,17,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,15310,False,close,plant,4,0.7368421052631579,14,5,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,10994,False,close,food,4,0.3888888888888889,7,11,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,2971,True,deep,animal,7,0.375,3,5,8,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,10237,False,deep,food,5,0.5789473684210527,11,8,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,12095,False,deep,food,5,0.4444444444444444,8,10,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5224,False,deep,artifact,5,0.6842105263157895,13,6,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,658,False,close,animal,4,0.3888888888888889,7,11,18,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,1943,False,deep,animal,8,0.3157894736842105,6,13,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,16414,False,close,plant,3,0.7777777777777778,14,4,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,4348,False,deep,body_part,5,0.7368421052631579,14,5,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,10838,False,close,food,4,0.75,15,5,20,1,0,False,0.0,False,
Qwen_Qwen3.5-9B,9596,False,close,body_part,3,0.9473684210526315,18,1,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,3743,True,deep,animal,5,0.5,4,4,8,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,4875,False,deep,artifact,5,0.95,19,1,20,1,0,False,0.0,False,
Qwen_Qwen3.5-9B,11376,True,close,food,3,0.16666666666666666,1,5,6,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5516,False,close,artifact,4,0.9473684210526315,18,1,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,15598,True,deep,plant,7,0.46153846153846156,6,7,13,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,11059,False,deep,food,5,0.42105263157894735,8,11,19,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,2806,True,close,animal,3,0.5,2,2,4,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,6607,False,deep,artifact,7,0.631578947368421,12,7,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,3192,False,close,animal,4,0.85,17,3,20,1,0,False,0.0,False,
Qwen_Qwen3.5-9B,16469,False,close,plant,4,0.7894736842105263,15,4,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5184,False,deep,artifact,5,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5652,False,deep,artifact,5,0.7,14,6,20,1,1,True,1.0,True,
Qwen_Qwen3.5-9B,4465,False,close,body_part,3,0.7777777777777778,14,4,18,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,5757,False,deep,artifact,6,0.4666666666666667,7,8,18,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,10074,False,deep,body_part,5,0.5555555555555556,10,8,18,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5265,False,close,artifact,4,0.45,9,11,20,1,1,True,1.0,True,
Qwen_Qwen3.5-9B,4450,True,close,body_part,3,0.6,3,2,5,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,5653,False,close,artifact,4,0.8947368421052632,17,2,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,6396,False,close,artifact,3,0.8421052631578947,16,3,19,2,1,True,0.5,True,False
Qwen_Qwen3.5-9B,4020,False,close,body_part,3,0.7368421052631579,14,5,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,10858,False,close,food,4,0.4,8,12,20,1,0,False,0.0,False,
Qwen_Qwen3.5-9B,15611,False,deep,plant,6,0.5263157894736842,10,9,19,2,0,False,0.0,False,False
Qwen_Qwen3.5-9B,12377,False,deep,food,6,0.3888888888888889,7,11,18,2,1,True,0.5,False,True
Qwen_Qwen3.5-9B,9670,False,deep,body_part,5,0.5263157894736842,10,9,19,2,1,True,0.5,False,True
deepseek-ai_DeepSeek-V3.1,9616,True,close,body_part,3,0.875,14,2,16,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,16467,False,deep,plant,6,0.6428571428571429,9,5,14,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,11199,True,close,food,4,0.5,4,4,8,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,16120,True,close,plant,3,0.8888888888888888,8,1,9,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,1154,False,close,animal,4,0.7222222222222222,13,5,18,2,1,True,0.5,False,True
deepseek-ai_DeepSeek-V3.1,62,True,close,animal,3,0.6,6,4,10,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,16152,True,deep,plant,6,0.5714285714285714,4,3,7,2,1,True,0.5,False,True
deepseek-ai_DeepSeek-V3.1,9624,False,close,body_part,3,0.9411764705882353,16,1,17,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,4779,False,close,artifact,4,0.8125,13,3,16,2,1,True,0.5,True,False
deepseek-ai_DeepSeek-V3.1,17775,False,close,plant,4,0.9444444444444444,17,1,18,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,4032,False,close,body_part,3,0.6875,11,5,16,2,1,True,0.5,True,False
deepseek-ai_DeepSeek-V3.1,15613,False,close,plant,4,0.6666666666666666,12,6,18,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,4784,False,close,artifact,4,0.5882352941176471,10,7,17,2,1,True,0.5,False,True
deepseek-ai_DeepSeek-V3.1,6359,False,close,artifact,4,0.8823529411764706,15,2,17,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,9457,False,close,body_part,4,0.7777777777777778,14,4,18,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,10529,False,deep,food,6,0.8125,13,3,16,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,6575,True,deep,artifact,7,0.8125,13,3,16,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,3411,False,deep,animal,8,0.875,14,2,16,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,15245,True,deep,plant,5,0.14285714285714285,1,6,7,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,10986,True,deep,food,6,0.9375,15,1,16,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,4368,True,deep,body_part,5,0.6923076923076923,9,4,13,2,1,True,0.5,False,True
deepseek-ai_DeepSeek-V3.1,11263,True,close,food,4,0.4,6,9,15,2,1,True,0.5,False,True
deepseek-ai_DeepSeek-V3.1,16864,False,close,plant,4,0.8823529411764706,15,2,17,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,17361,True,deep,plant,6,0.4444444444444444,4,5,9,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,1551,False,deep,body_part,5,0.5882352941176471,10,7,17,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,16096,True,deep,plant,6,0.7333333333333333,11,4,15,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,9650,True,deep,body_part,5,0.6363636363636364,7,4,11,2,2,True,1.0,True,True
deepseek-ai_DeepSeek-V3.1,4313,False,deep,body_part,5,0.8,12,3,15,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,17047,True,close,plant,3,0.625,5,3,8,2,1,True,0.5,True,False
deepseek-ai_DeepSeek-V3.1,11006,True,close,food,4,0.4444444444444444,4,5,9,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,9433,True,close,body_part,4,0.625,5,3,8,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,15508,False,close,plant,3,0.6666666666666666,12,6,18,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,1261,True,close,animal,3,0.5833333333333334,7,5,12,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,11459,True,deep,food,6,0.6153846153846154,8,5,13,2,0,False,0.0,False,False
deepseek-ai_DeepSeek-V3.1,11921,False,close,food,4,0.7777777777777778,14,4,18,2,0,False,0.0,False,False
