game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
10981,food,frozen_dessert,deep,5,True,1,5,5,False,0,4,0,4,0.0,0,3,3,0.0,3,4,0.75
546,animal,aquatic_vertebrate,close,4,True,1,7,7,False,1,5,0,6,0.16666666666666666,1,5,6,0.16666666666666666,3,6,0.5
16249,plant,cedar,deep,7,True,1,8,8,False,2,5,0,7,0.2857142857142857,1,3,4,0.25,4,7,0.5714285714285714
6347,artifact,bag,close,4,False,11,,20,True,6,3,0,9,0.6666666666666666,2,1,3,0.6666666666666666,5,9,0.5555555555555556
3947,animal,bird_of_prey,deep,5,True,2,7,7,False,1,4,0,5,0.2,1,3,4,0.25,3,5,0.6
357,animal,mammal,close,4,True,1,6,6,False,2,3,0,5,0.4,2,3,5,0.4,4,5,0.8
5506,artifact,electronic_device,close,4,False,2,,20,True,16,2,0,18,0.8888888888888888,6,1,7,0.8571428571428571,8,18,0.4444444444444444
4288,body_part,bone,deep,5,False,9,,20,True,3,8,0,11,0.2727272727272727,3,5,8,0.375,2,11,0.18181818181818182
4458,body_part,nose,deep,5,False,6,,20,True,2,12,0,14,0.14285714285714285,1,12,13,0.07692307692307693,9,14,0.6428571428571429
9334,body_part,muscle,close,4,True,1,3,3,False,0,2,0,2,0.0,0,1,1,0.0,1,2,0.5
819,animal,bony_fish,deep,6,True,1,5,5,False,1,3,0,4,0.25,0,3,3,0.0,3,4,0.75
3172,animal,vertebrate,close,3,True,1,5,5,False,1,3,0,4,0.25,0,0,0,0,3,4,0.75
3852,animal,hawk,deep,6,True,2,8,8,False,0,6,0,6,0.0,0,3,3,0.0,3,6,0.5
3966,animal,Old_World_vulture,deep,7,True,6,18,18,False,2,10,0,12,0.16666666666666666,2,6,8,0.25,7,12,0.5833333333333334
17248,plant,fruit_tree,deep,6,False,5,,20,True,2,13,0,15,0.13333333333333333,1,8,9,0.1111111111111111,9,15,0.6
15310,plant,tree,close,4,True,1,5,5,False,2,2,0,4,0.5,2,2,4,0.5,1,4,0.25
10994,food,dessert,close,4,True,4,14,14,False,2,8,0,10,0.2,2,7,9,0.2222222222222222,8,10,0.8
2971,animal,New_World_flycatcher,deep,7,False,6,,20,True,5,9,0,14,0.35714285714285715,5,9,14,0.35714285714285715,9,14,0.6428571428571429
10237,food,condiment,deep,5,True,2,7,7,False,1,4,0,5,0.2,0,2,2,0.0,3,5,0.6
12095,food,flatbread,deep,5,True,2,12,12,False,1,9,0,10,0.1,0,7,7,0.0,6,10,0.6
5224,artifact,measuring_instrument,deep,5,False,4,,20,True,5,11,0,16,0.3125,3,11,14,0.21428571428571427,9,16,0.5625
658,animal,aquatic_vertebrate,close,4,True,1,5,5,False,1,3,0,4,0.25,0,3,3,0.0,3,4,0.75
1943,animal,shark,deep,8,True,3,12,12,False,0,9,0,9,0.0,0,7,7,0.0,6,9,0.6666666666666666
16414,plant,woody_plant,close,3,False,7,,20,True,8,5,0,13,0.6153846153846154,6,4,10,0.6,6,13,0.46153846153846156
4348,body_part,bone,deep,5,False,6,,20,True,3,11,0,14,0.21428571428571427,0,6,6,0.0,5,14,0.35714285714285715
10838,food,dessert,close,4,False,4,,20,True,5,11,0,16,0.3125,2,7,9,0.2222222222222222,11,16,0.6875
9596,body_part,sense_organ,close,3,False,2,,20,True,6,12,0,18,0.3333333333333333,6,11,17,0.35294117647058826,7,18,0.3888888888888889
3743,animal,bird_of_prey,deep,5,True,2,8,8,False,0,6,0,6,0.0,0,5,5,0.0,5,6,0.8333333333333334
4875,artifact,painting,deep,5,False,0,,20,True,15,5,0,20,0.75,2,1,3,0.6666666666666666,8,20,0.4
11376,food,cake,close,3,True,2,9,9,False,0,7,0,7,0.0,0,6,6,0.0,6,7,0.8571428571428571
5516,artifact,electronic_device,close,4,False,4,,20,True,4,12,0,16,0.25,4,10,14,0.2857142857142857,11,16,0.6875
15598,plant,larch,deep,7,True,4,15,15,False,1,10,0,11,0.09090909090909091,1,9,10,0.1,9,11,0.8181818181818182
11059,food,pudding,deep,5,False,3,,16,False,4,8,1,13,0.3333333333333333,1,2,3,0.3333333333333333,6,12,0.5
2806,animal,vertebrate,close,3,True,3,14,14,False,1,10,0,11,0.09090909090909091,1,9,10,0.1,9,11,0.8181818181818182
6607,artifact,ship,deep,7,False,4,,20,True,3,13,0,16,0.1875,3,9,12,0.25,7,16,0.4375
3192,animal,bird,close,4,True,2,9,9,False,1,6,0,7,0.14285714285714285,1,5,6,0.16666666666666666,5,7,0.7142857142857143
16469,plant,tree,close,4,False,6,,20,True,5,9,0,14,0.35714285714285715,0,0,0,0,4,14,0.2857142857142857
5184,artifact,measuring_instrument,deep,5,False,5,,20,True,4,11,0,15,0.26666666666666666,4,11,15,0.26666666666666666,8,15,0.5333333333333333
5652,artifact,stringed_instrument,deep,5,False,6,,20,True,1,13,0,14,0.07142857142857142,0,11,11,0.0,11,14,0.7857142857142857
4465,body_part,sense_organ,close,3,False,5,,20,True,5,10,0,15,0.3333333333333333,3,9,12,0.25,6,15,0.4
5757,artifact,cutter,deep,6,True,5,20,20,False,3,12,0,15,0.2,2,12,14,0.14285714285714285,10,15,0.6666666666666666
10074,body_part,blood_vessel,deep,5,False,5,,20,True,4,11,0,15,0.26666666666666666,4,9,13,0.3076923076923077,6,15,0.4
5265,artifact,musical_instrument,close,4,False,7,,20,True,5,8,0,13,0.38461538461538464,0,5,5,0.0,7,13,0.5384615384615384
4450,body_part,sense_organ,close,3,False,3,,20,True,9,8,0,17,0.5294117647058824,7,4,11,0.6363636363636364,2,17,0.11764705882352941
5653,artifact,musical_instrument,close,4,False,3,,20,True,8,9,0,17,0.47058823529411764,2,3,5,0.4,8,17,0.47058823529411764
6396,artifact,container,close,3,False,8,,20,True,2,10,0,12,0.16666666666666666,0,3,3,0.0,5,12,0.4166666666666667
4020,body_part,internal_organ,close,3,False,5,,20,True,5,10,0,15,0.3333333333333333,5,10,15,0.3333333333333333,10,15,0.6666666666666666
10858,food,dessert,close,4,False,5,,20,True,4,11,0,15,0.26666666666666666,3,7,10,0.3,7,15,0.4666666666666667
15611,plant,conifer,deep,6,True,4,8,8,False,1,3,0,4,0.25,1,3,4,0.25,3,4,0.75
12377,food,sweet_roll,deep,6,True,2,11,11,False,1,8,0,9,0.1111111111111111,1,7,8,0.125,8,9,0.8888888888888888
9670,body_part,ocular_muscle,deep,5,True,3,12,12,False,1,8,0,9,0.1111111111111111,1,6,7,0.14285714285714285,6,9,0.6666666666666666
