model,game_id,turn_number,guess,target_property,judgment
Qwen_Qwen3.5-9B,9616,6,homeostatic structures,body_part,no
Qwen_Qwen3.5-9B,9624,20,animal anatomical structures,body_part,yes
Qwen_Qwen3.5-9B,9650,11,human body structures,body_part,yes
Qwen_Qwen3.5-9B,9670,9,named anatomical structures,body_part,yes
Qwen_Qwen3.5-9B,9949,8,anatomical terms,body_part,no
Qwen_Qwen3.5-9B,10074,20,anatomically named veins or arteries,body_part,no
Qwen_Qwen3.5-9B,10237,7,food or beverage items,food,yes
Qwen_Qwen3.5-9B,10529,15,common grocery store food items,food,no
Qwen_Qwen3.5-9B,10981,9,food items,food,yes
Qwen_Qwen3.5-9B,10986,14,food items,food,yes
Qwen_Qwen3.5-9B,10994,20,prepared food,food,no
Qwen_Qwen3.5-9B,11006,20,edible items,food,yes
Qwen_Qwen3.5-9B,11016,7,ice cream flavors,food,no
Qwen_Qwen3.5-9B,11059,7,food items,food,yes
Qwen_Qwen3.5-9B,11263,11,dish,food,no
Qwen_Qwen3.5-9B,11376,7,food,food,yes
Qwen_Qwen3.5-9B,11384,7,food,food,yes
Qwen_Qwen3.5-9B,11459,12,food spreads,food,no
Qwen_Qwen3.5-9B,11697,17,words that can be followed by 'steak',food,no
Qwen_Qwen3.5-9B,11921,15,edible food items,food,yes
Qwen_Qwen3.5-9B,12016,20,Commonly consumed solid food items,food,no
Qwen_Qwen3.5-9B,12095,3,bread,food,no
Qwen_Qwen3.5-9B,12377,12,edible food items,food,yes
Qwen_Qwen3.5-9B,15245,3,Cycad,plant,no
Qwen_Qwen3.5-9B,15310,8,Plant names,plant,no
Qwen_Qwen3.5-9B,15508,11,plants with aromatic compounds or essential oils,plant,no
Qwen_Qwen3.5-9B,15598,14,botanical plant names (common or scientific),plant,no
Qwen_Qwen3.5-9B,15611,16,seed plants,plant,no
Qwen_Qwen3.5-9B,15613,6,aromatic fruits with distinct fragrance,plant,no
Qwen_Qwen3.5-9B,15790,13,trees,plant,no
Qwen_Qwen3.5-9B,16096,10,plant,plant,yes
Qwen_Qwen3.5-9B,16120,6,plant,plant,yes
Qwen_Qwen3.5-9B,16152,7,plant,plant,yes
Qwen_Qwen3.5-9B,16249,12,being a tree species,plant,no
Qwen_Qwen3.5-9B,16414,16,plants used for culinary or medicinal purposes,plant,no
Qwen_Qwen3.5-9B,16467,5,trees,plant,no
Qwen_Qwen3.5-9B,16469,14,"Common 2-word names of trees, tree parts, or natural tree-derived materials (excluding manufactured/processed terms)",plant,no
Qwen_Qwen3.5-9B,16864,17,common plant names,plant,no
Qwen_Qwen3.5-9B,17047,9,common names of plant species,plant,no
Qwen_Qwen3.5-9B,17248,2,cauliflorous trees,plant,no
Qwen_Qwen3.5-9B,17257,18,plants,plant,yes
Qwen_Qwen3.5-9B,17361,13,plants,plant,yes
Qwen_Qwen3.5-9B,17775,11,plants,plant,yes
deepseek-ai_DeepSeek-V3.1,62,11,animals,animal,yes
deepseek-ai_DeepSeek-V3.1,357,7,animals,animal,yes
deepseek-ai_DeepSeek-V3.1,546,9,has the word 'fish' in its name,animal,no
deepseek-ai_DeepSeek-V3.1,658,15,animal,animal,yes
deepseek-ai_DeepSeek-V3.1,819,18,common name,animal,no
deepseek-ai_DeepSeek-V3.1,1066,20,animals with names that include another animal name,animal,no
deepseek-ai_DeepSeek-V3.1,1136,6,animal,animal,yes
deepseek-ai_DeepSeek-V3.1,1154,19,animals,animal,yes
deepseek-ai_DeepSeek-V3.1,1261,13,animal,animal,yes
deepseek-ai_DeepSeek-V3.1,1551,15,anatomical terms,body_part,no
deepseek-ai_DeepSeek-V3.1,1725,19,dishes containing animal products,animal,no
deepseek-ai_DeepSeek-V3.1,1943,15,animal,animal,yes
deepseek-ai_DeepSeek-V3.1,2806,12,animals whose names are not commonly used as verbs,animal,no
deepseek-ai_DeepSeek-V3.1,2971,12,bird,animal,no
deepseek-ai_DeepSeek-V3.1,3172,4,animal,animal,yes
deepseek-ai_DeepSeek-V3.1,3192,19,birds,animal,no
deepseek-ai_DeepSeek-V3.1,3411,18,bird species with a hyphenated name or possessive name,animal,no
deepseek-ai_DeepSeek-V3.1,3743,16,has a descriptive adjective in its common name,animal,no
deepseek-ai_DeepSeek-V3.1,3852,7,vertebrates,animal,no
deepseek-ai_DeepSeek-V3.1,3947,15,animal,animal,yes
deepseek-ai_DeepSeek-V3.1,3966,17,animals,animal,yes
deepseek-ai_DeepSeek-V3.1,4020,10,biological structures,body_part,no
deepseek-ai_DeepSeek-V3.1,4032,8,respiratory organs,body_part,no
deepseek-ai_DeepSeek-V3.1,4288,10,bones,body_part,no
deepseek-ai_DeepSeek-V3.1,4313,3,bones,body_part,no
deepseek-ai_DeepSeek-V3.1,4348,10,derived from Greek or Latin,body_part,no
deepseek-ai_DeepSeek-V3.1,4368,8,anatomical structures,body_part,yes
deepseek-ai_DeepSeek-V3.1,4450,17,body parts,body_part,yes
deepseek-ai_DeepSeek-V3.1,4458,7,proboscis,body_part,no
deepseek-ai_DeepSeek-V3.1,4465,19,compound anatomical terms,body_part,no
deepseek-ai_DeepSeek-V3.1,4779,17,electromagnetic actuator,artifact,no
deepseek-ai_DeepSeek-V3.1,4784,11,man-made object,artifact,yes
deepseek-ai_DeepSeek-V3.1,4875,18,prose,artifact,no
deepseek-ai_DeepSeek-V3.1,5184,15,devices with names ending in 'meter',artifact,no
deepseek-ai_DeepSeek-V3.1,5224,14,words that can be verbs,artifact,no
deepseek-ai_DeepSeek-V3.1,5265,15,instruments that are not primarily bowed,artifact,no
deepseek-ai_DeepSeek-V3.1,5506,14,contains the letter 'e',artifact,no
deepseek-ai_DeepSeek-V3.1,5516,18,"words ending with -or, -er, -ode, or -istor",artifact,no
deepseek-ai_DeepSeek-V3.1,5652,19,instruments that are not untuned percussion,artifact,no
deepseek-ai_DeepSeek-V3.1,5653,13,acoustic instruments,artifact,no
deepseek-ai_DeepSeek-V3.1,5757,11,compound tool names ending with a tool type word,artifact,no
deepseek-ai_DeepSeek-V3.1,5807,12,hand tools,artifact,no
deepseek-ai_DeepSeek-V3.1,6347,13,contains the substring 'bag' or 'sack',artifact,no
deepseek-ai_DeepSeek-V3.1,6359,14,contains the word 'bag',artifact,no
deepseek-ai_DeepSeek-V3.1,6380,7,compound words where the second part is a common noun that can stand alone but the compound has a specific meaning,artifact,no
deepseek-ai_DeepSeek-V3.1,6396,10,tangible objects,artifact,no
deepseek-ai_DeepSeek-V3.1,6543,17,vehicles that can carry other vehicles or significant payloads,artifact,no
deepseek-ai_DeepSeek-V3.1,6575,7,functional,artifact,no
deepseek-ai_DeepSeek-V3.1,6606,12,artifacts,artifact,yes
deepseek-ai_DeepSeek-V3.1,6607,20,ship type named after its cargo or primary purpose,artifact,no
deepseek-ai_DeepSeek-V3.1,9334,13,anatomical terms,body_part,no
deepseek-ai_DeepSeek-V3.1,9433,9,anatomical structure,body_part,yes
deepseek-ai_DeepSeek-V3.1,9457,17,Latin anatomical terms that are not common nouns or simple body part names,body_part,no
deepseek-ai_DeepSeek-V3.1,9596,18,nose,body_part,no
deepseek-ai_DeepSeek-V3.1,9616,10,neural crest derived,body_part,no
deepseek-ai_DeepSeek-V3.1,9624,17,vestigial structures,body_part,no
deepseek-ai_DeepSeek-V3.1,9650,13,mucous membrane,body_part,no
deepseek-ai_DeepSeek-V3.1,9670,6,muscles named with comparative anatomical terms,body_part,no
deepseek-ai_DeepSeek-V3.1,9949,11,anatomical structures named after the body part or region they are associated with,body_part,no
deepseek-ai_DeepSeek-V3.1,10074,8,portal venous system veins,body_part,no
deepseek-ai_DeepSeek-V3.1,10237,16,food,food,yes
deepseek-ai_DeepSeek-V3.1,10529,6,sugar,food,no
deepseek-ai_DeepSeek-V3.1,10838,7,edible,food,yes
deepseek-ai_DeepSeek-V3.1,10858,11,edible,food,yes
deepseek-ai_DeepSeek-V3.1,10981,6,layered dessert or food,food,no
deepseek-ai_DeepSeek-V3.1,10986,17,words that are names of fruits or vegetables,food,no
deepseek-ai_DeepSeek-V3.1,10994,18,food items,food,yes
deepseek-ai_DeepSeek-V3.1,11006,10,food,food,yes
deepseek-ai_DeepSeek-V3.1,11016,17,"contains vanilla, chocolate, or strawberry",food,no
deepseek-ai_DeepSeek-V3.1,11059,4,dessert pudding,food,no
deepseek-ai_DeepSeek-V3.1,11199,9,food,food,yes
deepseek-ai_DeepSeek-V3.1,11263,10,edible,food,yes
deepseek-ai_DeepSeek-V3.1,11376,9,not frozen,food,no
deepseek-ai_DeepSeek-V3.1,11384,17,tangible object,food,no
deepseek-ai_DeepSeek-V3.1,11459,15,food,food,yes
deepseek-ai_DeepSeek-V3.1,11697,12,food,food,yes
deepseek-ai_DeepSeek-V3.1,11921,18,common food items,food,no
deepseek-ai_DeepSeek-V3.1,12016,20,not soft or moist baked goods,food,no
deepseek-ai_DeepSeek-V3.1,12095,15,unleavened bread,food,no
deepseek-ai_DeepSeek-V3.1,12377,18,food name containing a nationality or place adjective,food,no
deepseek-ai_DeepSeek-V3.1,15245,8,plant,plant,yes
deepseek-ai_DeepSeek-V3.1,15310,18,tree,plant,no
deepseek-ai_DeepSeek-V3.1,15508,18,spice,plant,no
deepseek-ai_DeepSeek-V3.1,15598,18,eukaryotic organisms,plant,no
deepseek-ai_DeepSeek-V3.1,15611,15,plants,plant,yes
deepseek-ai_DeepSeek-V3.1,15613,11,fruit,plant,no
deepseek-ai_DeepSeek-V3.1,15790,7,plants,plant,yes
deepseek-ai_DeepSeek-V3.1,16096,10,common plant names,plant,no
deepseek-ai_DeepSeek-V3.1,16120,8,compound plant names,plant,no
deepseek-ai_DeepSeek-V3.1,16152,8,tree,plant,no
deepseek-ai_DeepSeek-V3.1,16249,9,common names containing the word 'cedar' as a distinct term (not compound or hyphenated),plant,no
deepseek-ai_DeepSeek-V3.1,16414,6,plant,plant,yes
deepseek-ai_DeepSeek-V3.1,16467,20,plant-derived materials,plant,no
deepseek-ai_DeepSeek-V3.1,16469,14,phrases consisting of a plant name followed by a plant part or descriptor,plant,no
deepseek-ai_DeepSeek-V3.1,16864,13,eucalyptus,plant,no
deepseek-ai_DeepSeek-V3.1,17047,9,plant,plant,yes
deepseek-ai_DeepSeek-V3.1,17248,10,is a plant,plant,yes
deepseek-ai_DeepSeek-V3.1,17257,13,cultivated plants,plant,no
deepseek-ai_DeepSeek-V3.1,17361,10,plant,plant,yes
deepseek-ai_DeepSeek-V3.1,17775,6,flowering plant with a color in its common name,plant,no
gpt-5-mini,62,3,names of animals (common or scientific),animal,no
gpt-5-mini,357,5,refers to an animal (is an animal),animal,yes
gpt-5-mini,546,15,"members of Kingdom Animalia (i.e., animals)",animal,yes
gpt-5-mini,658,5,is the name of an animal,animal,no
gpt-5-mini,819,19,members of the biological kingdom Animalia (animals),animal,yes
gpt-5-mini,1066,4,they are fish species,animal,no
gpt-5-mini,1136,5,Common names of animals (members of Kingdom Animalia),animal,no
gpt-5-mini,1154,5,member of Kingdom Animalia (an animal),animal,yes
gpt-5-mini,1261,5,common animal names,animal,no
gpt-5-mini,1551,5,anatomical terms (names of body parts or anatomical structures),body_part,no
gpt-5-mini,1725,18,The (common) name is either a single-word animal name or a multi-word name whose final word is the name of an animal,animal,no
gpt-5-mini,1943,6,belongs to the kingdom Animalia (is an animal),animal,yes
gpt-5-mini,2806,10,"is the name of an animal (common animal name, including breeds)",animal,no
gpt-5-mini,2971,4,is a bird species,animal,no
gpt-5-mini,3172,4,they are animals,animal,yes
gpt-5-mini,3192,10,name of a bird (real or mythological),animal,no
gpt-5-mini,3411,6,being a bird (a common English bird species name),animal,no
gpt-5-mini,3743,5,is an animal (member of Kingdom Animalia),animal,yes
gpt-5-mini,3852,15,animal (member of Kingdom Animalia),animal,yes
gpt-5-mini,3947,12,Member of the animal kingdom (Animalia),animal,yes
gpt-5-mini,3966,6,members of Kingdom Animalia (animals),animal,yes
gpt-5-mini,4020,12,"anatomical/morphological structures of non-plant eukaryotes (animals, fungi, protists) — i.e., organismal body parts or external cellular appendages, excluding plant organs, intracellular organelles, and prokaryotic structures",body_part,yes
gpt-5-mini,4032,13,"anatomical exchange interfaces between an organism's internal fluids and the external environment (named organs/structures/openings that mediate gas, fluid, or solute exchange)",body_part,no
gpt-5-mini,4288,5,parts of animal (human) anatomy,body_part,yes
gpt-5-mini,4313,17,anatomical parts (parts/structures of organisms),body_part,yes
gpt-5-mini,4348,7,names of animal (including human) anatomical body parts / anatomical structures,body_part,no
gpt-5-mini,4368,5,anatomical body parts / anatomical structures,body_part,yes
gpt-5-mini,4450,7,body parts,body_part,yes
gpt-5-mini,4458,4,body parts,body_part,yes
gpt-5-mini,4465,12,Named sensory organs/receptor structures (organ- or tissue-level sensory structures that detect stimuli),body_part,no
gpt-5-mini,4779,12,man-made (manufactured) objects,artifact,yes
gpt-5-mini,4784,9,man-made tangible objects (physical items created/manufactured by humans),artifact,yes
gpt-5-mini,5184,13,"man-made, inanimate, non-consumable objects (manufactured artifacts)",artifact,yes
gpt-5-mini,5224,11,"man-made, physical, inanimate (tangible) objects",artifact,yes
gpt-5-mini,5265,4,musical instruments,artifact,no
gpt-5-mini,5516,18,human-made artifact,artifact,yes
gpt-5-mini,5652,4,musical instruments,artifact,no
gpt-5-mini,5653,20,physical music-related objects,artifact,no
gpt-5-mini,5757,7,implements/tools/utensils (objects used as instruments to perform tasks),artifact,no
gpt-5-mini,5807,18,The two-word phrase denotes a tangible man-made object (a manufactured artifact),artifact,no
gpt-5-mini,6347,7,Two-word noun phrases where the second word is a container/holder/support for the first (the first names what the second holds or is associated with).,artifact,no
gpt-5-mini,6359,18,Objects that are containers (can hold or contain other things),artifact,no
gpt-5-mini,6380,13,the item’s name contains a contiguous personal name (a given name or surname) as a substring,artifact,no
gpt-5-mini,6396,12,Man-made (artificial) objects,artifact,yes
gpt-5-mini,6543,5,"watercraft (ships, boats, and submarines)",artifact,no
gpt-5-mini,6575,6,names of vehicles / modes of transportation,artifact,no
gpt-5-mini,6606,15,man-made means of transport / conveyances (inanimate devices used to carry people or goods),artifact,no
gpt-5-mini,6607,5,names of vessels or craft (ships/boats/airships/spacecraft) — types of vehicles used for travel or transport,artifact,no
gpt-5-mini,9334,8,animal body parts (anatomical parts of animals),body_part,yes
gpt-5-mini,9433,15,"Names of macroscopic anatomical structures (gross anatomy) — organs, tissues, muscles, bones and other external/internal body parts (excluding cells, organelles, microscopic units, and non-anatomical terms).",body_part,yes
gpt-5-mini,9457,6,Human anatomical structures,body_part,yes
gpt-5-mini,9596,7,names of animal body parts (animal anatomical structures),body_part,no
gpt-5-mini,9616,6,"Any anatomical or morphological part/structure of a living organism (organ, body part, or organ-like structure, in animals, plants, fungi, etc.)",body_part,no
gpt-5-mini,9624,10,external multicellular sensory epithelia (receptor organs exposed to the environment),body_part,no
gpt-5-mini,9650,2,mucous membrane (mucosa),body_part,no
gpt-5-mini,9670,4,muscles (anatomical muscles),body_part,no
gpt-5-mini,9949,11,macroscopic anatomical structures of animals (animal anatomy),body_part,no
gpt-5-mini,10074,7,named anatomical structures (human anatomy),body_part,no
gpt-5-mini,10237,7,"edible items (foods, dishes, sauces, and ingredients)",food,yes
gpt-5-mini,10529,7,edible (food or food ingredient),food,yes
gpt-5-mini,10838,6,edible / is food,food,yes
gpt-5-mini,10858,5,food (edible items),food,yes
gpt-5-mini,10981,9,Food or drink intended for human consumption,food,no
gpt-5-mini,10986,4,edible (food items),food,yes
gpt-5-mini,10994,5,food (edible items),food,yes
gpt-5-mini,11006,11,"items intended for consumption as food or non-alcoholic beverages (edible/ drinkable items), excluding medicines and alcoholic drinks",food,no
gpt-5-mini,11016,5,frozen dessert,food,no
gpt-5-mini,11059,9,Edible items (foods or beverages),food,yes
gpt-5-mini,11199,7,foods typically served by slicing a round item into wedge-shaped slices,food,no
gpt-5-mini,11263,3,food,food,yes
gpt-5-mini,11376,5,food,food,yes
gpt-5-mini,11384,14,Items that are food or drink (intended to be eaten or drunk),food,yes
gpt-5-mini,11459,5,edible (food or drink fit for human consumption),food,yes
gpt-5-mini,11697,18,edible items (foods and food products),food,yes
gpt-5-mini,11921,8,food (edible items),food,yes
gpt-5-mini,12016,5,food (edible items),food,yes
gpt-5-mini,12095,11,food or drink (edible/drinkable items intended for consumption),food,yes
gpt-5-mini,12377,8,foods that are eaten (not beverages/drinks),food,no
gpt-5-mini,15245,2,they are cycads (plants in the order Cycadales),plant,no
gpt-5-mini,15310,9,plants (members of the kingdom Plantae),plant,yes
gpt-5-mini,15508,4,being a plant (a member of the kingdom Plantae),plant,yes
gpt-5-mini,15598,5,being a plant (member of Kingdom Plantae),plant,yes
gpt-5-mini,15611,6,being a plant (member of Kingdom Plantae),plant,yes
gpt-5-mini,15613,19,the word is the common name of a seed-bearing plant (a spermatophyte),plant,no
gpt-5-mini,15790,16,Viridiplantae (green plants),plant,no
gpt-5-mini,16096,8,Euphyllophytes (ferns and seed plants — plants with true megaphyll leaves),plant,no
gpt-5-mini,16120,11,common name of a land plant (Embryophyte),plant,no
gpt-5-mini,16152,6,being a plant (member of the kingdom Plantae),plant,yes
gpt-5-mini,16249,5,Common names of coniferous trees whose English name ends with the word 'cedar',plant,no
gpt-5-mini,16414,4,is a plant (a common plant name),plant,yes
gpt-5-mini,16467,8,"Vascular plants excluding monilophytes (i.e., seed plants and lycophytes)",plant,no
gpt-5-mini,16469,7,the second word names a tree or a part of a tree,plant,no
gpt-5-mini,16864,7,"common names of plants (members of the plant kingdom, Plantae)",plant,no
gpt-5-mini,17047,12,Common names of vascular plants (tracheophytes),plant,no
gpt-5-mini,17248,2,cauliflorous (produces flowers or fruits directly on the trunk/main stem),plant,no
gpt-5-mini,17257,5,the second word is the common name of a plant,plant,no
