model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
gpt-5.2-chat,1136,True,deep,3,False,0.0,0.0
gpt-5.2-chat,12016,True,close,3,False,0.0,0.0
gpt-5.2-chat,10981,True,deep,3,False,0.0,0.0
gpt-5.2-chat,546,True,close,5,False,0.0,0.2
gpt-5.2-chat,16249,True,deep,4,False,0.0,0.0
gpt-5.2-chat,6347,False,close,15,True,0.06666666666666667,0.3333333333333333
gpt-5.2-chat,3947,True,deep,4,False,0.0,0.0
gpt-5.2-chat,357,True,close,3,True,0.0,0.0
gpt-5.2-chat,5506,False,close,18,True,0.8888888888888888,0.1111111111111111
gpt-5.2-chat,4288,True,deep,6,True,0.0,0.16666666666666666
gpt-5.2-chat,4458,True,deep,4,False,0.0,0.0
gpt-5.2-chat,9334,True,close,3,False,0.0,0.0
gpt-5.2-chat,819,True,deep,3,False,0.0,0.0
gpt-5.2-chat,3172,True,close,3,False,0.0,0.0
gpt-5.2-chat,3852,True,deep,4,False,0.0,0.0
gpt-5.2-chat,3966,True,deep,4,True,0.0,0.25
gpt-5.2-chat,17248,True,deep,3,False,0.0,0.0
gpt-5.2-chat,15310,False,close,15,True,0.06666666666666667,0.13333333333333333
gpt-5.2-chat,10994,True,close,3,False,0.0,0.0
gpt-5.2-chat,2971,True,deep,4,False,0.0,0.0
gpt-5.2-chat,10237,True,deep,4,False,0.0,0.0
gpt-5.2-chat,12095,True,deep,4,False,0.0,0.0
gpt-5.2-chat,5224,True,deep,4,True,0.0,0.25
gpt-5.2-chat,658,True,close,4,False,0.0,0.0
gpt-5.2-chat,1943,True,deep,4,True,0.0,0.0
gpt-5.2-chat,16414,True,close,4,True,0.25,0.0
gpt-5.2-chat,4348,False,deep,16,True,0.0,0.6875
gpt-5.2-chat,10838,True,close,3,True,0.0,0.0
gpt-5.2-chat,9596,True,close,3,False,0.0,0.0
gpt-5.2-chat,3743,True,deep,5,False,0.0,0.0
gpt-5.2-chat,4875,False,deep,18,True,0.4444444444444444,0.5
gpt-5.2-chat,11376,True,close,3,False,0.0,0.0
gpt-5.2-chat,5516,False,close,17,True,0.23529411764705882,0.4117647058823529
gpt-5.2-chat,15598,True,deep,5,False,0.0,0.0
gpt-5.2-chat,11059,True,deep,4,True,0.0,0.25
gpt-5.2-chat,2806,True,close,2,True,0.0,0.5
gpt-5.2-chat,6607,False,deep,15,True,0.0,0.3333333333333333
gpt-5.2-chat,3192,True,close,5,True,0.0,0.0
gpt-5.2-chat,16469,False,close,16,True,0.0625,0.25
gpt-5.2-chat,5184,True,deep,7,False,0.0,0.0
gpt-5.2-chat,5652,False,deep,13,True,0.38461538461538464,0.3076923076923077
gpt-5.2-chat,4465,True,close,3,True,0.3333333333333333,0.6666666666666666
gpt-5.2-chat,5757,True,deep,12,False,0.0,0.3333333333333333
gpt-5.2-chat,10074,True,deep,3,False,0.0,0.0
gpt-5.2-chat,5265,False,close,15,True,0.0,0.4666666666666667
gpt-5.2-chat,4450,True,close,3,False,0.0,0.0
gpt-5.2-chat,5653,False,close,17,True,0.23529411764705882,0.35294117647058826
gpt-5.2-chat,6396,True,close,9,True,0.0,0.8888888888888888
gpt-5.2-chat,4020,False,close,14,False,0.0,0.07142857142857142
gpt-5.2-chat,10858,True,close,4,True,0.0,0.0
gpt-5.2-chat,15611,True,deep,15,False,0.0,0.0
gpt-5.2-chat,12377,True,deep,3,False,0.0,0.0
gpt-5.2-chat,9670,True,deep,6,False,0.0,0.0
